Purchase Order	Delivered	Processed	Date Delivered	Date
B001872410	0	0			False
B001832131	0	0			False
B001749912	0	0			False
B001866828	0	0			False
B001759027	0	0			False
B001750441	0	0			False
B001730190	0	0			False
B001831052	0	0			False
B001750440	0	0			False
B001898507	0	0			False
B001759026	0	0			False
B001822891	0	0			False
B001818298	0	0			False
B001791000	0	0			False
B001866829	0	0			False
B001852137	0	0			False
B001823721	0	0			False
B001750437	0	0			False
B001831185	0	0			False
B001774860	0	0			False
B001844178	3	3	2/18/2020 12:14:04 PM	7/21/2020 3:32:21 PM	False
B001759021	0	0			False
B001801421	0	0			False
B001846450	0	0			False
B001887636	0	0			False
B001770835	0	0			False
B001873231	0	0			False
B001873227	0	0			False
B001831189	0	0			False
B001873179	0	0			False
B001739456	0	0			False
B001873180	0	0			False
B001801417	0	0			False
B001898388	0	0			False
B001815855	0	0			False
B001843761	0	0			False
B001802144	0	0			False
B001821448	0	0			False
B001790441	0	0			False
B001770838	0	0			False
B001831188	1	1	1/31/2020 11:53:56 AM	7/21/2020 3:33:30 PM	False
B001853151	0	0			False
B001801420	0	0			False
B001774861	0	0			False
B001801419	0	0			False
B001904083	0	0			False
B001873248	0	0			False
B001770837	0	0			False
B001887634	0	0			False
B001801423	0	0			False
B001759023	0	0			False
B001774862	0	0			False
B001831187	0	0			False
B001781793	0	0			False
B001843762	0	0			False
B001801696	0	0			False
B001904349	0	0			False
B001790442	0	0			False
B001739454	0	0			False
B001844177	0	0			False
B001739455	0	0			False
B001790443	0	0			False
B001842563	0	0			False
B001831186	0	0			False
B001774863	0	0			False
B001827269	0	0			False
B001759022	0	0			False
B001801422	0	0			False
B001770836	0	0			False
B001887635	0	0			False
B001801418	0	0			False
B001771925	0	0			False
B001730188	0	0			False
B001898508	0	0			False
B001823722	0	0			False
B001856767	0	0			False
B001759029	0	0			False
B001818297	0	0			False
B001903717	0	0			False
B001826629	1	1	1/27/2020 12:33:59 PM	7/21/2020 3:28:56 PM	False
B001759025	0	0			False
B001750438	0	0			False
B001822892	0	0			False
B001822893	1	1	1/22/2020 12:26:48 PM	7/21/2020 3:29:48 PM	False
B001750439	0	0			False
B001759024	0	0			False
B001801424	0	0			False
B001887633	0	0			False
B001826628	2	2	1/27/2020 12:34:25 PM	7/21/2020 3:30:49 PM	False
B001821769	0	0			False
B001818296	0	0			False
B001759028	0	0			False
B001802212	0	0			False
B001823723	0	0			False
B001898509	0	0			False
B001730189	0	0			False
B001785738	0	0			False
